county,county_fips,state,county_population,health_service_area_number,health_service_area,health_service_area_population,covid_inpatient_bed_utilization,covid_hospital_admissions_per_100k,covid_cases_per_100k,covid-19_community_level,date_updated
Halifax County,51083,Virginia,33911,71,"Halifax with South Boston City, VA - Mecklenburg, VA",76694,2.0,6.5,200.52,Medium,2022-05-12
Buchanan County,51027,Virginia,21004,39,"Mercer, WV - Tazewell, VA",144261,2.0,6.9,28.57,Low,2022-05-12
Tazewell County,51185,Virginia,40595,39,"Mercer, WV - Tazewell, VA",144261,2.0,6.9,115.78,Low,2022-05-12
Bland County,51021,Virginia,6280,39,"Mercer, WV - Tazewell, VA",144261,2.0,6.9,95.54,Low,2022-05-12
Floyd County,51063,Virginia,15749,14,"Roanoke City, VA - Roanoke, VA",592537,2.0,6.1,95.24,Low,2022-05-12
Campbell County,51031,Virginia,54885,14,"Roanoke City, VA - Roanoke, VA",592537,2.0,6.1,136.65,Low,2022-05-12
Botetourt County,51023,Virginia,33419,14,"Roanoke City, VA - Roanoke, VA",592537,2.0,6.1,125.68,Low,2022-05-12
Bedford County,51019,Virginia,78997,14,"Roanoke City, VA - Roanoke, VA",592537,2.0,6.1,207.60,Medium,2022-05-12
Appomattox County,51011,Virginia,15911,14,"Roanoke City, VA - Roanoke, VA",592537,2.0,6.1,43.99,Low,2022-05-12
Roanoke County,51161,Virginia,94186,14,"Roanoke City, VA - Roanoke, VA",592537,2.0,6.1,175.19,Low,2022-05-12
Craig County,51045,Virginia,5131,14,"Roanoke City, VA - Roanoke, VA",592537,2.0,6.1,38.98,Low,2022-05-12
Roanoke City,51770,Virginia,99143,14,"Roanoke City, VA - Roanoke, VA",592537,2.0,6.1,145.24,Low,2022-05-12
Lynchburg City,51680,Virginia,82168,14,"Roanoke City, VA - Roanoke, VA",592537,2.0,6.1,71.80,Low,2022-05-12
Franklin County,51067,Virginia,56042,14,"Roanoke City, VA - Roanoke, VA",592537,2.0,6.1,98.14,Low,2022-05-12
Salem City,51775,Virginia,25301,14,"Roanoke City, VA - Roanoke, VA",592537,2.0,6.1,142.29,Low,2022-05-12
Amherst County,51009,Virginia,31605,14,"Roanoke City, VA - Roanoke, VA",592537,2.0,6.1,82.27,Low,2022-05-12
York County,51199,Virginia,68280,5,"Newport News City, VA - Hampton City, VA",531945,1.1,1.9,161.10,Low,2022-05-12
Mathews County,51115,Virginia,8834,5,"Newport News City, VA - Hampton City, VA",531945,1.1,1.9,113.20,Low,2022-05-12
Poquoson City,51735,Virginia,12271,5,"Newport News City, VA - Hampton City, VA",531945,1.1,1.9,97.79,Low,2022-05-12
Newport News City,51700,Virginia,179225,5,"Newport News City, VA - Hampton City, VA",531945,1.1,1.9,134.47,Low,2022-05-12
James City County,51095,Virginia,76523,5,"Newport News City, VA - Hampton City, VA",531945,1.1,1.9,254.83,Medium,2022-05-12
Williamsburg City,51830,Virginia,14954,5,"Newport News City, VA - Hampton City, VA",531945,1.1,1.9,113.68,Low,2022-05-12
Hampton City,51650,Virginia,134510,5,"Newport News City, VA - Hampton City, VA",531945,1.1,1.9,136.79,Low,2022-05-12
Gloucester County,51073,Virginia,37348,5,"Newport News City, VA - Hampton City, VA",531945,1.1,1.9,163.33,Low,2022-05-12
Fredericksburg City,51630,Virginia,29036,135,"Stafford, VA - Spotsylvania, VA",375694,2.5,3.7,220.42,Medium,2022-05-12
Stafford County,51179,Virginia,152882,135,"Stafford, VA - Spotsylvania, VA",375694,2.5,3.7,229.59,Medium,2022-05-12
King George County,51099,Virginia,26836,135,"Stafford, VA - Spotsylvania, VA",375694,2.5,3.7,156.51,Low,2022-05-12
Spotsylvania County,51177,Virginia,136215,135,"Stafford, VA - Spotsylvania, VA",375694,2.5,3.7,176.19,Low,2022-05-12
Caroline County,51033,Virginia,30725,135,"Stafford, VA - Spotsylvania, VA",375694,2.5,3.7,156.22,Low,2022-05-12
Greene County,51079,Virginia,19819,99,"Albemarle, VA - Charlottesville City, VA",383641,2.6,7.3,237.15,Medium,2022-05-12
Albemarle County,51003,Virginia,109330,99,"Albemarle, VA - Charlottesville City, VA",383641,2.6,7.3,287.20,Medium,2022-05-12
Charlottesville City,51540,Virginia,47266,99,"Albemarle, VA - Charlottesville City, VA",383641,2.6,7.3,385.05,Medium,2022-05-12
Culpeper County,51047,Virginia,52605,99,"Albemarle, VA - Charlottesville City, VA",383641,2.6,7.3,174.89,Low,2022-05-12
Rappahannock County,51157,Virginia,7370,99,"Albemarle, VA - Charlottesville City, VA",383641,2.6,7.3,40.71,Low,2022-05-12
Orange County,51137,Virginia,37051,99,"Albemarle, VA - Charlottesville City, VA",383641,2.6,7.3,153.84,Low,2022-05-12
Fluvanna County,51065,Virginia,27270,99,"Albemarle, VA - Charlottesville City, VA",383641,2.6,7.3,165.02,Low,2022-05-12
Buckingham County,51029,Virginia,17148,99,"Albemarle, VA - Charlottesville City, VA",383641,2.6,7.3,64.15,Low,2022-05-12
Nelson County,51125,Virginia,14930,99,"Albemarle, VA - Charlottesville City, VA",383641,2.6,7.3,180.84,Low,2022-05-12
Madison County,51113,Virginia,13261,99,"Albemarle, VA - Charlottesville City, VA",383641,2.6,7.3,113.11,Low,2022-05-12
Louisa County,51109,Virginia,37591,99,"Albemarle, VA - Charlottesville City, VA",383641,2.6,7.3,159.61,Low,2022-05-12
Hopewell City,51670,Virginia,22529,77,"Petersburg City, VA - Prince George, VA",138353,1.5,10.1,75.46,Medium,2022-05-12
Dinwiddie County,51053,Virginia,28544,77,"Petersburg City, VA - Prince George, VA",138353,1.5,10.1,77.07,Medium,2022-05-12
Petersburg City,51730,Virginia,31346,77,"Petersburg City, VA - Prince George, VA",138353,1.5,10.1,73.37,Medium,2022-05-12
Sussex County,51183,Virginia,11159,77,"Petersburg City, VA - Prince George, VA",138353,1.5,10.1,53.77,Medium,2022-05-12
Surry County,51181,Virginia,6422,77,"Petersburg City, VA - Prince George, VA",138353,1.5,10.1,124.57,Medium,2022-05-12
Prince George County,51149,Virginia,38353,77,"Petersburg City, VA - Prince George, VA",138353,1.5,10.1,161.66,Medium,2022-05-12
Wythe County,51197,Virginia,28684,70,"Montgomery, VA - Pulaski, VA",196215,2.3,8.7,76.70,Low,2022-05-12
Pulaski County,51155,Virginia,34027,70,"Montgomery, VA - Pulaski, VA",196215,2.3,8.7,126.37,Low,2022-05-12
Giles County,51071,Virginia,16720,70,"Montgomery, VA - Pulaski, VA",196215,2.3,8.7,113.64,Low,2022-05-12
Radford City,51750,Virginia,18249,70,"Montgomery, VA - Pulaski, VA",196215,2.3,8.7,153.43,Low,2022-05-12
Dickenson County,51051,Virginia,14318,55,"Wise, VA - Lee, VA",79105,1.2,2.5,34.92,Low,2022-05-12
Norton City,51720,Virginia,3981,55,"Wise, VA - Lee, VA",79105,1.2,2.5,50.24,Low,2022-05-12
Wise County,51195,Virginia,37383,55,"Wise, VA - Lee, VA",79105,1.2,2.5,24.08,Low,2022-05-12
Lee County,51105,Virginia,23423,55,"Wise, VA - Lee, VA",79105,1.2,2.5,21.35,Low,2022-05-12
Westmoreland County,51193,Virginia,18015,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,1.6,8.1,55.51,Low,2022-05-12
Richmond County,51159,Virginia,9023,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,1.6,8.1,166.24,Low,2022-05-12
Powhatan County,51145,Virginia,29652,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,1.6,8.1,242.82,Medium,2022-05-12
Charles City County,51036,Virginia,6963,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,1.6,8.1,201.06,Medium,2022-05-12
Nottoway County,51135,Virginia,15232,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,1.6,8.1,229.78,Medium,2022-05-12
King and Queen County,51097,Virginia,7025,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,1.6,8.1,113.88,Low,2022-05-12
Richmond City,51760,Virginia,230436,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,1.6,8.1,193.11,Low,2022-05-12
Prince Edward County,51147,Virginia,22802,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,1.6,8.1,100.87,Low,2022-05-12
Northumberland County,51133,Virginia,12095,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,1.6,8.1,115.75,Low,2022-05-12
New Kent County,51127,Virginia,23091,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,1.6,8.1,190.55,Low,2022-05-12
Middlesex County,51119,Virginia,10582,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,1.6,8.1,132.30,Low,2022-05-12
Lancaster County,51103,Virginia,10603,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,1.6,8.1,150.90,Low,2022-05-12
Goochland County,51075,Virginia,23753,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,1.6,8.1,197.87,Low,2022-05-12
Chesterfield County,51041,Virginia,352802,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,1.6,8.1,226.19,Medium,2022-05-12
Charlotte County,51037,Virginia,11880,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,1.6,8.1,84.18,Low,2022-05-12
Colonial Heights City,51570,Virginia,17370,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,1.6,8.1,172.71,Low,2022-05-12
King William County,51101,Virginia,17148,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,1.6,8.1,64.15,Low,2022-05-12
Henrico County,51087,Virginia,330818,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,1.6,8.1,295.03,Medium,2022-05-12
Hanover County,51085,Virginia,107766,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,1.6,8.1,202.29,Medium,2022-05-12
Essex County,51057,Virginia,10953,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,1.6,8.1,54.78,Low,2022-05-12
Cumberland County,51049,Virginia,9932,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,1.6,8.1,140.96,Low,2022-05-12
Amelia County,51007,Virginia,13145,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,1.6,8.1,167.36,Low,2022-05-12
Alleghany County,51005,Virginia,14860,30,"Greenbrier, WV - Alleghany Cnty and Clifton Forge Cty, VA",72482,1.6,0.0,6.73,Low,2022-05-12
Covington City,51580,Virginia,5538,30,"Greenbrier, WV - Alleghany Cnty and Clifton Forge Cty, VA",72482,1.6,0.0,216.68,Medium,2022-05-12
Bath County,51017,Virginia,4147,30,"Greenbrier, WV - Alleghany Cnty and Clifton Forge Cty, VA",72482,1.6,0.0,120.57,Low,2022-05-12
Warren County,51187,Virginia,40164,25,"Berkeley, WV - Frederick, VA",433166,2.3,3.7,104.57,Low,2022-05-12
Winchester City,51840,Virginia,28078,25,"Berkeley, WV - Frederick, VA",433166,2.3,3.7,188.76,Low,2022-05-12
Frederick County,51069,Virginia,89313,25,"Berkeley, WV - Frederick, VA",433166,2.3,3.7,144.44,Low,2022-05-12
Shenandoah County,51171,Virginia,43616,25,"Berkeley, WV - Frederick, VA",433166,2.3,3.7,105.47,Low,2022-05-12
Clarke County,51043,Virginia,14619,25,"Berkeley, WV - Frederick, VA",433166,2.3,3.7,164.17,Low,2022-05-12
Roanoke City,51770,Virginia,99143,14,"Roanoke City, VA - Roanoke, VA",592537,2.4,5.6,217.87,Medium,2022-05-19
Amelia County,51007,Virginia,13145,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,2.5,9.8,121.72,Low,2022-05-19
Amherst County,51009,Virginia,31605,14,"Roanoke City, VA - Roanoke, VA",592537,2.4,5.6,110.74,Low,2022-05-19
Caroline County,51033,Virginia,30725,135,"Stafford, VA - Spotsylvania, VA",375694,2.5,4.0,143.21,Low,2022-05-19
Cumberland County,51049,Virginia,9932,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,2.5,9.8,211.44,Medium,2022-05-19
Essex County,51057,Virginia,10953,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,2.5,9.8,146.08,Low,2022-05-19
Gloucester County,51073,Virginia,37348,5,"Newport News City, VA - Hampton City, VA",531945,1.6,3.6,125.84,Low,2022-05-19
Halifax County,51083,Virginia,33911,71,"Halifax with South Boston City, VA - Mecklenburg, VA",76694,2.5,7.8,342.07,Medium,2022-05-19
Hanover County,51085,Virginia,107766,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,2.5,9.8,252.40,Medium,2022-05-19
Henrico County,51087,Virginia,330818,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,2.5,9.8,321.02,Medium,2022-05-19
King William County,51101,Virginia,17148,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,2.5,9.8,139.96,Low,2022-05-19
Lee County,51105,Virginia,23423,55,"Wise, VA - Lee, VA",79105,0.0,6.3,29.89,Low,2022-05-19
Louisa County,51109,Virginia,37591,99,"Albemarle, VA - Charlottesville City, VA",383641,2.8,5.7,204.84,Medium,2022-05-19
Madison County,51113,Virginia,13261,99,"Albemarle, VA - Charlottesville City, VA",383641,2.8,5.7,180.98,Low,2022-05-19
Nelson County,51125,Virginia,14930,99,"Albemarle, VA - Charlottesville City, VA",383641,2.8,5.7,100.47,Low,2022-05-19
Pittsylvania County,51143,Virginia,60354,132,"Pittsylvania (Danville), VA - Danville City, VA",203721,1.7,2.0,193.86,Low,2022-05-19
Prince George County,51149,Virginia,38353,77,"Petersburg City, VA - Prince George, VA",138353,1.0,5.1,221.63,Medium,2022-05-19
Russell County,51167,Virginia,26586,151,"Sullivan (Kingsport), TN - Hawkins, TN",363892,2.4,7.1,127.89,Low,2022-05-19
Smyth County,51173,Virginia,30104,151,"Sullivan (Kingsport), TN - Hawkins, TN",363892,2.4,7.1,152.80,Low,2022-05-19
Spotsylvania County,51177,Virginia,136215,135,"Stafford, VA - Spotsylvania, VA",375694,2.5,4.0,201.15,Medium,2022-05-19
Surry County,51181,Virginia,6422,77,"Petersburg City, VA - Prince George, VA",138353,1.0,5.1,155.71,Low,2022-05-19
Sussex County,51183,Virginia,11159,77,"Petersburg City, VA - Prince George, VA",138353,1.0,5.1,89.61,Low,2022-05-19
Washington County,51191,Virginia,53740,151,"Sullivan (Kingsport), TN - Hawkins, TN",363892,2.4,7.1,61.41,Low,2022-05-19
Alexandria City,51510,Virginia,159428,69,"Fairfax, VA - Arlington, VA",1995976,2.8,5.0,474.82,Medium,2022-05-19
Bristol City,51520,Virginia,16762,151,"Sullivan (Kingsport), TN - Hawkins, TN",363892,2.4,7.1,119.32,Low,2022-05-19
Colonial Heights City,51570,Virginia,17370,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,2.5,9.8,189.98,Low,2022-05-19
Fairfax City,51600,Virginia,24019,69,"Fairfax, VA - Arlington, VA",1995976,2.8,5.0,91.59,Low,2022-05-19
Hampton City,51650,Virginia,134510,5,"Newport News City, VA - Hampton City, VA",531945,1.6,3.6,226.01,Medium,2022-05-19
Manassas City,51683,Virginia,41085,109,"Prince William (Dale City), VA - Fauquier, VA",600120,2.6,2.0,204.45,Medium,2022-05-19
Petersburg City,51730,Virginia,31346,77,"Petersburg City, VA - Prince George, VA",138353,1.0,5.1,70.18,Low,2022-05-19
Radford City,51750,Virginia,18249,70,"Montgomery, VA - Pulaski, VA",196215,2.7,6.1,389.06,Medium,2022-05-19
Salem City,51775,Virginia,25301,14,"Roanoke City, VA - Roanoke, VA",592537,2.4,5.6,154.14,Low,2022-05-19
Suffolk City,51800,Virginia,92108,6,"Virginia Beach City, VA - Norfolk City, VA",1214527,2.0,4.2,219.31,Medium,2022-05-19
Bath County,51017,Virginia,4147,30,"Greenbrier, WV - Alleghany Cnty and Clifton Forge Cty, VA",72482,1.6,4.1,120.57,Low,2022-05-19
Brunswick County,51025,Virginia,16231,130,"Brunswick, VA - Greensville, VA",32913,0.0,0.0,98.58,Low,2022-05-19
Craig County,51045,Virginia,5131,14,"Roanoke City, VA - Roanoke, VA",592537,2.4,5.6,58.47,Low,2022-05-19
Culpeper County,51047,Virginia,52605,99,"Albemarle, VA - Charlottesville City, VA",383641,2.8,5.7,114.06,Low,2022-05-19
Fairfax County,51059,Virginia,1147532,69,"Fairfax, VA - Arlington, VA",1995976,2.8,5.0,319.47,Medium,2022-05-19
Fauquier County,51061,Virginia,71222,109,"Prince William (Dale City), VA - Fauquier, VA",600120,2.6,2.0,168.49,Low,2022-05-19
Frederick County,51069,Virginia,89313,25,"Berkeley, WV - Frederick, VA",433166,3.2,5.1,192.58,Low,2022-05-19
Grayson County,51077,Virginia,15550,73,"Carroll, VA - Grayson, VA",62825,1.1,11.1,109.32,Medium,2022-05-19
Greensville County,51081,Virginia,11336,130,"Brunswick, VA - Greensville, VA",32913,0.0,0.0,167.61,Low,2022-05-19
Henry County,51089,Virginia,50557,132,"Pittsylvania (Danville), VA - Danville City, VA",203721,1.7,2.0,187.91,Low,2022-05-19
King and Queen County,51097,Virginia,7025,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,2.5,9.8,113.88,Low,2022-05-19
Mathews County,51115,Virginia,8834,5,"Newport News City, VA - Hampton City, VA",531945,1.6,3.6,101.88,Low,2022-05-19
Montgomery County,51121,Virginia,98535,70,"Montgomery, VA - Pulaski, VA",196215,2.7,6.1,283.15,Medium,2022-05-19
Nottoway County,51135,Virginia,15232,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,2.5,9.8,216.65,Medium,2022-05-19
Page County,51139,Virginia,23902,63,"Rockingham, VA - Harrisonburg City, VA",165835,1.6,4.2,138.06,Low,2022-05-19
Prince William County,51153,Virginia,470335,109,"Prince William (Dale City), VA - Fauquier, VA",600120,2.6,2.0,251.95,Medium,2022-05-19
Roanoke County,51161,Virginia,94186,14,"Roanoke City, VA - Roanoke, VA",592537,2.4,5.6,329.14,Medium,2022-05-19
Rockbridge County,51163,Virginia,22573,97,"Augusta, VA - Staunton City, VA",161807,3.2,14.2,79.74,Medium,2022-05-19
Tazewell County,51185,Virginia,40595,39,"Mercer, WV - Tazewell, VA",144261,2.5,4.9,128.09,Low,2022-05-19
York County,51199,Virginia,68280,5,"Newport News City, VA - Hampton City, VA",531945,1.6,3.6,235.79,Medium,2022-05-19
Charlottesville City,51540,Virginia,47266,99,"Albemarle, VA - Charlottesville City, VA",383641,2.8,5.7,492.95,Medium,2022-05-19
Covington City,51580,Virginia,5538,30,"Greenbrier, WV - Alleghany Cnty and Clifton Forge Cty, VA",72482,1.6,4.1,180.57,Low,2022-05-19
Emporia City,51595,Virginia,5346,130,"Brunswick, VA - Greensville, VA",32913,0.0,0.0,130.94,Low,2022-05-19
Harrisonburg City,51660,Virginia,53016,63,"Rockingham, VA - Harrisonburg City, VA",165835,1.6,4.2,147.13,Low,2022-05-19
Hopewell City,51670,Virginia,22529,77,"Petersburg City, VA - Prince George, VA",138353,1.0,5.1,97.65,Low,2022-05-19
Manassas Park City,51685,Virginia,17478,109,"Prince William (Dale City), VA - Fauquier, VA",600120,2.6,2.0,200.25,Medium,2022-05-19
Norfolk City,51710,Virginia,242742,6,"Virginia Beach City, VA - Norfolk City, VA",1214527,2.0,4.2,144.60,Low,2022-05-19
Portsmouth City,51740,Virginia,94398,6,"Virginia Beach City, VA - Norfolk City, VA",1214527,2.0,4.2,136.66,Low,2022-05-19
Staunton City,51790,Virginia,24932,97,"Augusta, VA - Staunton City, VA",161807,3.2,14.2,669.82,High,2022-05-19
Virginia Beach City,51810,Virginia,449974,6,"Virginia Beach City, VA - Norfolk City, VA",1214527,2.0,4.2,204.01,Medium,2022-05-19
Waynesboro City,51820,Virginia,22630,97,"Augusta, VA - Staunton City, VA",161807,3.2,14.2,534.69,High,2022-05-19
Winchester City,51840,Virginia,28078,25,"Berkeley, WV - Frederick, VA",433166,3.2,5.1,146.02,Low,2022-05-19
Albemarle County,51003,Virginia,109330,99,"Albemarle, VA - Charlottesville City, VA",383641,2.8,5.7,365.86,Medium,2022-05-19
Alleghany County,51005,Virginia,14860,30,"Greenbrier, WV - Alleghany Cnty and Clifton Forge Cty, VA",72482,1.6,4.1,121.13,Low,2022-05-19
Appomattox County,51011,Virginia,15911,14,"Roanoke City, VA - Roanoke, VA",592537,2.4,5.6,113.13,Low,2022-05-19
Augusta County,51015,Virginia,75558,97,"Augusta, VA - Staunton City, VA",161807,3.2,14.2,276.61,High,2022-05-19
Bedford County,51019,Virginia,78997,14,"Roanoke City, VA - Roanoke, VA",592537,2.4,5.6,230.39,Medium,2022-05-19
Botetourt County,51023,Virginia,33419,14,"Roanoke City, VA - Roanoke, VA",592537,2.4,5.6,158.59,Low,2022-05-19
Buchanan County,51027,Virginia,21004,39,"Mercer, WV - Tazewell, VA",144261,2.5,4.9,38.09,Low,2022-05-19
Campbell County,51031,Virginia,54885,14,"Roanoke City, VA - Roanoke, VA",592537,2.4,5.6,87.46,Low,2022-05-19
Charles City County,51036,Virginia,6963,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,2.5,9.8,71.81,Low,2022-05-19
Dickenson County,51051,Virginia,14318,55,"Wise, VA - Lee, VA",79105,0.0,6.3,62.86,Low,2022-05-19
Floyd County,51063,Virginia,15749,14,"Roanoke City, VA - Roanoke, VA",592537,2.4,5.6,120.64,Low,2022-05-19
Giles County,51071,Virginia,16720,70,"Montgomery, VA - Pulaski, VA",196215,2.7,6.1,275.12,Medium,2022-05-19
Greene County,51079,Virginia,19819,99,"Albemarle, VA - Charlottesville City, VA",383641,2.8,5.7,257.33,Medium,2022-05-19
Isle of Wight County,51093,Virginia,37109,6,"Virginia Beach City, VA - Norfolk City, VA",1214527,2.0,4.2,115.87,Low,2022-05-19
King George County,51099,Virginia,26836,135,"Stafford, VA - Spotsylvania, VA",375694,2.5,4.0,253.39,Medium,2022-05-19
Loudoun County,51107,Virginia,413538,69,"Fairfax, VA - Arlington, VA",1995976,2.8,5.0,324.76,Medium,2022-05-19
Lunenburg County,51111,Virginia,12196,71,"Halifax with South Boston City, VA - Mecklenburg, VA",76694,2.5,7.8,106.59,Low,2022-05-19
Powhatan County,51145,Virginia,29652,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,2.5,9.8,107.92,Low,2022-05-19
Williamsburg City,51830,Virginia,14954,5,"Newport News City, VA - Hampton City, VA",531945,1.6,3.6,187.24,Low,2022-05-19
Pulaski County,51155,Virginia,34027,70,"Montgomery, VA - Pulaski, VA",196215,2.7,6.1,146.94,Low,2022-05-19
Richmond County,51159,Virginia,9023,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,2.5,9.8,243.82,Medium,2022-05-19
Rockingham County,51165,Virginia,81948,63,"Rockingham, VA - Harrisonburg City, VA",165835,1.6,4.2,61.01,Low,2022-05-19
Scott County,51169,Virginia,21566,151,"Sullivan (Kingsport), TN - Hawkins, TN",363892,2.4,7.1,18.55,Low,2022-05-19
Southampton County,51175,Virginia,17631,6,"Virginia Beach City, VA - Norfolk City, VA",1214527,2.0,4.2,181.50,Low,2022-05-19
Stafford County,51179,Virginia,152882,135,"Stafford, VA - Spotsylvania, VA",375694,2.5,4.0,281.92,Medium,2022-05-19
Warren County,51187,Virginia,40164,25,"Berkeley, WV - Frederick, VA",433166,3.2,5.1,159.35,Low,2022-05-19
Westmoreland County,51193,Virginia,18015,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,2.5,9.8,133.22,Low,2022-05-19
Wythe County,51197,Virginia,28684,70,"Montgomery, VA - Pulaski, VA",196215,2.7,6.1,128.99,Low,2022-05-19
Chesapeake City,51550,Virginia,244835,6,"Virginia Beach City, VA - Norfolk City, VA",1214527,2.0,4.2,218.51,Medium,2022-05-19
Danville City,51590,Virginia,40044,132,"Pittsylvania (Danville), VA - Danville City, VA",203721,1.7,2.0,257.22,Medium,2022-05-19
Fredericksburg City,51630,Virginia,29036,135,"Stafford, VA - Spotsylvania, VA",375694,2.5,4.0,296.18,Medium,2022-05-19
Lexington City,51678,Virginia,7446,97,"Augusta, VA - Staunton City, VA",161807,3.2,14.2,228.31,High,2022-05-19
Martinsville City,51690,Virginia,12554,132,"Pittsylvania (Danville), VA - Danville City, VA",203721,1.7,2.0,183.21,Low,2022-05-19
Accomack County,51001,Virginia,32316,137,"Accomack, VA - Northampton, VA",44026,3.4,4.5,133.06,Low,2022-05-19
Bland County,51021,Virginia,6280,39,"Mercer, WV - Tazewell, VA",144261,2.5,4.9,127.39,Low,2022-05-19
Buckingham County,51029,Virginia,17148,99,"Albemarle, VA - Charlottesville City, VA",383641,2.8,5.7,169.12,Low,2022-05-19
Carroll County,51035,Virginia,29791,73,"Carroll, VA - Grayson, VA",62825,1.1,11.1,124.20,Medium,2022-05-19
Charlotte County,51037,Virginia,11880,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,2.5,9.8,235.69,Medium,2022-05-19
Chesterfield County,51041,Virginia,352802,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,2.5,9.8,267.57,Medium,2022-05-19
Clarke County,51043,Virginia,14619,25,"Berkeley, WV - Frederick, VA",433166,3.2,5.1,164.17,Low,2022-05-19
Dinwiddie County,51053,Virginia,28544,77,"Petersburg City, VA - Prince George, VA",138353,1.0,5.1,210.20,Medium,2022-05-19
Fluvanna County,51065,Virginia,27270,99,"Albemarle, VA - Charlottesville City, VA",383641,2.8,5.7,234.69,Medium,2022-05-19
Franklin County,51067,Virginia,56042,14,"Roanoke City, VA - Roanoke, VA",592537,2.4,5.6,183.79,Low,2022-05-19
Goochland County,51075,Virginia,23753,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,2.5,9.8,252.60,Medium,2022-05-19
Highland County,51091,Virginia,2190,97,"Augusta, VA - Staunton City, VA",161807,3.2,14.2,228.31,High,2022-05-19
James City County,51095,Virginia,76523,5,"Newport News City, VA - Hampton City, VA",531945,1.6,3.6,360.68,Medium,2022-05-19
Lancaster County,51103,Virginia,10603,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,2.5,9.8,122.61,Low,2022-05-19
Mecklenburg County,51117,Virginia,30587,71,"Halifax with South Boston City, VA - Mecklenburg, VA",76694,2.5,7.8,114.43,Low,2022-05-19
Middlesex County,51119,Virginia,10582,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,2.5,9.8,122.85,Low,2022-05-19
New Kent County,51127,Virginia,23091,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,2.5,9.8,238.19,Medium,2022-05-19
Northampton County,51131,Virginia,11710,137,"Accomack, VA - Northampton, VA",44026,3.4,4.5,102.48,Low,2022-05-19
Northumberland County,51133,Virginia,12095,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,2.5,9.8,173.63,Low,2022-05-19
Orange County,51137,Virginia,37051,99,"Albemarle, VA - Charlottesville City, VA",383641,2.8,5.7,202.42,Medium,2022-05-19
Patrick County,51141,Virginia,17608,132,"Pittsylvania (Danville), VA - Danville City, VA",203721,1.7,2.0,102.23,Low,2022-05-19
Prince Edward County,51147,Virginia,22802,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,2.5,9.8,83.33,Low,2022-05-19
Rappahannock County,51157,Virginia,7370,99,"Albemarle, VA - Charlottesville City, VA",383641,2.8,5.7,94.98,Low,2022-05-19
Shenandoah County,51171,Virginia,43616,25,"Berkeley, WV - Frederick, VA",433166,3.2,5.1,149.03,Low,2022-05-19
Wise County,51195,Virginia,37383,55,"Wise, VA - Lee, VA",79105,0.0,6.3,85.60,Low,2022-05-19
Buena Vista City,51530,Virginia,6478,97,"Augusta, VA - Staunton City, VA",161807,3.2,14.2,108.06,Medium,2022-05-19
Falls Church City,51610,Virginia,14617,69,"Fairfax, VA - Arlington, VA",1995976,2.8,5.0,465.21,Medium,2022-05-19
Franklin City,51620,Virginia,7967,6,"Virginia Beach City, VA - Norfolk City, VA",1214527,2.0,4.2,288.69,Medium,2022-05-19
